short_name,long_name
id,ID
case_number,Case Number
date,Date
block,Block
iucr,IUCR
primary_type,Primary Type
description,Description
location_description,Location Description
arrest,Arrest
domestic,Domestic
beat,Beat
district,District
ward,Ward
community_area,Community Area
fbi_code,FBI Code
x_coordinate,X Coordinate
y_coordinate,Y Coordinate
year,Year
updated_on,Updated On
latitude,Latitude
longitude,Longitude
location,Location
